id	IDSendungname	Länge	Serie	Sendezeit	Titel	Description	Sender	MO	DI	MI	DO	FR	SA	SO	Filename	Bild
1051	Christus Okt25	00:32:00	OFF	06.09.2026 00:00:00	Ich bringe euch den Frieden und die Liebe	Der Christus Gottes offenbarte sich in der Stammgemeinde des Herrn für den Aufbau des Friedensreiches des Christus Gottes am 3. Oktober 2025, dem Jahr 2 des messianischen, sophianischen Zeitalters 	SNJ	False	False	False	False	False	False	False	DE_OFF_ChristusOkt2025_16zu9.mpg	Pfingstoff-2009.jpg
1054	LyrischeWerke GutUndBöse	00:11:30	LES	06.09.2026 00:40:30	Lyrische Werke - Gut & Böse	Lesung von Gedichten zum Thema "Gut & Böse"	SNJ	False	False	False	False	False	False	False	DE_LES_LyrischeWerkeGutUBoese__2608s101ogDE.mpg	LyrischeWerke.jpg
1061	Gemeinschaften 10 A	00:23:30	GR-ALLG	06.09.2026 01:00:00	Die freien Gemeinschaften im Zeichen der Lilie	Der Ruf der Seele nach Befreiung. Schulung aus dem Geist Gottes	SNJ	False	False	False	False	False	False	False	DE_FGE_Gemeinschaften_10_NAE_TelZeit_16zu9.mpg	Gemeinschaften.jpg
1066	JugendProphet 11 A	00:23:00	LES	06.09.2026 01:30:00	Der Jugendliche und der Prophet (11)	Wie können höhere ethisch moralische Werte durch kleine Schritte entfaltet werden? Antworten auf Lebensfragen von jungen Menschen, aus einem Gespräch mit Gabriele, der Prophetin und Botschafterin des Ewigen Reiches	SNJ	False	False	False	False	False	False	False	DE_LES_JugendProphet_11_2026_KORR_16zu9.mpg	JugendProphet.jpg
1075	EwigesReichFall 1	00:50:30	LES	06.09.2026 02:00:00	Das Ewige Reich und die Degeneration des Fallreiches	Lesung einer Offenbarung des Fürsten der göttlichen Weisheit, gegeben durch die Prophetin und Botschafterin des Ewigen Reiches Gabriele im Mai 2019, für "Das Lilienzeitalter, das messianische, sophianische Zeitalter" (Teil 1 von 2)	SNJ	False	False	False	False	False	False	False	DE_LES_DasEwigeReich_T1_16zu9.mpg	EwigesReichFall.jpg
1078	EwigesReichFall 2	00:35:00	LES	06.09.2026 02:54:00	Das Ewige Reich und die Degeneration des Fallreiches	Lesung einer Offenbarung des Fürsten der göttlichen Weisheit, gegeben durch die Prophetin und Botschafterin des Ewigen Reiches Gabriele im Mai 2019. für "Das Lilienzeitalter, das messianische, sophianische Zeitalter". (Teil 2 von 2)	SNJ	False	False	False	False	False	False	False	DE_LES_DasEwigeReich_T2_16zu9.mpg	EwigesReichFall.jpg
1082	InnereLeben	00:12:00	MED	06.09.2026 03:35:00	Das Innere Leben ist der Geist	Meditation zur Verinnerlichung für ein bewusstes Leben, gegeben von Gabriele.	SNJ	False	False	False	False	False	False	False	DE_MED_DasInnereLeben_NeuAltErsetzen_16zu9.mpg	InnereLeben.jpg
1090	Christus Felsenbrunnen26	00:34:30	OFF	06.09.2026 04:00:00	Ich, Christus, Bin der Fels, der Weg, die Wahrheit und das Leben. Folget Mir nach!	Der Christus Gottes offenbarte sich beim Treffen im urchristlichen Geist am Christus-Felsenbrunnen im Juli 2026, dem Jahr 3 des messianischen, sophianischen Zeitalters 	SNJ	False	False	False	False	False	False	False	DE_OFF_ChristusFelsenbrunnen26__2607s11v1ogDE.mpg	Pfingstoff-2009.jpg
1096	RückkehrSophia 01 A	01:01:00	GR-ALLG	06.09.2026 04:50:30	Die Rückkehr der Sophia, der göttlichen Weisheit, in das Ewige Vaterhaus (1)	Lesung einer Offenbarung aus dem Ewigen Reich durch die Prophetin und Botschafterin des Ewigen Reiches Gabriele (Teil 1 von 3)	SNJ	False	False	False	False	False	False	False	DE_LES_RueckkehrSophia_01_2024_16zu9.mpg	RueckkehrSophiaNEU.jpg
1101	IhreGedanken 16 7So	00:12:00	MED-TAG	06.09.2026 06:00:00	Ihre Gedanken sind Ihr Tag	Ruhen in Gott. Meditation am Morgen für einen guten Tag, gesprochen Gabriele	SNJ	False	False	False	False	False	False	False	DE_GH_KW_16_Sonntag007_NeuAltErsetzen_16zu9.mpg	IhreGedanken.jpg
1107	Medikurs1 02	00:25:00	MED	06.09.2026 06:20:00	Urchristlich Meditieren	Christus ruft mich. Meditation aus dem Geiste Gottes, gegeben von Gabriele. Zwölfteiliger erster Schulungszyklus, Teil 2 von 12	SNJ	False	False	False	False	False	False	False	DE_MED_Kurs1ChristusRuft_002_16zu9.mpg	Medikurs.JPG
1115	ChristusSeelenarzt UT A	00:16:30	MED	06.09.2026 06:55:00	Christus in uns, der Seelenarzt	Gebetsmeditation, gegeben von Gabriele, der Prophetin und Botschafterin des Ewigen Reiches, am 08.06.2007. Mit Untertiteln	SNJ	False	False	False	False	False	False	False	DE_MED_CH249Seelenarzt_UT_NAE.mpg	ChristusSeelenarzt.jpg
1120	FGE VerbindeSei 10 ABB	00:06:30	GR-ALLG	06.09.2026 07:20:00	Erfülltes Leben bis ins hohe Alter &  Das ist Mein Wort	Kurzsendung unter dem Motto "Wir sind die Freien Gemeinschaften – verbinde und sei" (10)	SNJ	False	False	False	False	False	False	False	DE_FGE_Les_10ErfülltesLeben.mpg	FGE VerbindeSei.jpg
1125	IhreGedanken 16 7So	00:12:00	MED-TAG	06.09.2026 07:40:00	Ihre Gedanken sind Ihr Tag	Ruhen in Gott. Meditation am Morgen für einen guten Tag, gesprochen Gabriele	SNJ	False	False	False	False	False	False	False	DE_GH_KW_16_Sonntag007_NeuAltErsetzen_16zu9.mpg	IhreGedanken.jpg
1133	InnereAndacht 22 A	00:57:30	MED	06.09.2026 08:00:00	Innere Andacht	Den Schein überwinden – zur Wahrheit finden. Originalaufzeichnung aus der Schulungsreihe "Die großen kosmischen Lehren des Jesus von Nazareth an Seine Apostel und Jünger, die es fassen konnten", Folge 22	SNJ	False	False	False	False	False	False	False	DE_MED_InnereAndacht_22_16zu9.mpg	InnereAndacht.jpg
1141	Fatalist	01:11:00	GR-ALLG	06.09.2026 09:10:00	Der Glaubende - ein Fatalist	Was hat Glauben mit Fatalismus zu tun? Die Sendung stellt kritische Fragen an jeden Einzelnen und gibt Antworten zu diesem Thema, basierend auf einem Gespräch mit Gabriele, der Prophetin und Botschafterin des Ewigen Reiches, im Juni 2020.	SNJ	False	False	False	False	False	False	False	DE_SON_GlaubendeFatalist_16zu9.mpg	Fatalist.jpg
1148	RechtesBetenHaltung UT	00:21:00	MED	06.09.2026 10:30:00	Rechtes Beten heisst Haltung anzunehmen	Meditation zur Verinnerlichung, gegeben von Gabriele, der Prophetin und Botschafterin des Ewigen Reiches am 04.03.2005	SNJ	False	False	False	False	False	False	False	DE_MED_RechtesBetenHaltung_UT.mpg	RechtesBetenHaltung.jpg
