id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
159	44426	Urlicht 02	MED	00:58:00	21.07.2026 06:31:30	La Luz primaria para todas las personas. Desarrolla las fuerzas autocurativas. Sánate con la fuerza del Cristo de Dios. 2º capítulo: La misericordia de Dios es el gran amor que siempre llama a la puerta de tu corazón	La Luz primaria para todas las personas. Desarrolla las fuerzas autocurativas. Sánate con la fuerza del Cristo de Dios. 2º capítulo: La misericordia de Dios es el gran amor que siempre llama a la puerta de tu corazón		False	False	False	False	False	False	False	ES_URLICHT_2.jpg
163	43155	FGE VS Les 21 WorteDesLebens	FGE	00:07:30	21.07.2026 07:40:00	Somos las colectividades libres - Une y sé (21) 	Palabras de vida 1		False	False	False	False	False	False	False	ES_FGE_VerbindeUndSei.jpg
166	07371	IhreGedanken 11 2Di	GH	00:11:30	21.07.2026 07:50:30	Sus pensamientos son su día: Las respuesta del corazón	Meditación con imágenes con impulsos para el día		False	False	False	False	False	False	False	ES_Woche.jpg
168	42220	FGE VS Les 13 LebeAugenblick	FGE	00:07:00	21.07.2026 08:03:30	Somos las colectividades libres - Une y sé (13) 	Vive el instante -y te verás y te reconocerás a ti mismo		False	False	False	False	False	False	False	ES_FGE_VerbindeUndSei.jpg
170	24417	Medikurs2 08	MED	00:26:00	21.07.2026 08:11:30	Meditaciones cristiano-originarias. (Curso 2º, med. 8)	Meditaciones cristiano-originarias. (Curso 2º, med. 8): «Amor, calor y armonía fluyen hacia mí desde la consciencia de la Voluntad»		False	False	False	False	False	False	False	Organansprache.jpg
174	07371	IhreGedanken 11 2Di	GH	00:11:30	21.07.2026 08:46:30	Sus pensamientos son su día: Las respuesta del corazón	Meditación con imágenes con impulsos para el día		False	False	False	False	False	False	False	ES_Woche.jpg
177	47972	GemeindeFels Juli2026	SON	01:20:00	21.07.2026 09:01:00	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	GemeindeFelsJul2.jpg
182	33990	WerWarJesus 02	LES	00:27:00	21.07.2026 10:27:30	¿Quién fue Jesús de Nazaret? Parte 2	¿Quién fue Jesús de Nazaret? Parte 2		False	False	False	False	False	False	False	JesusStatue.jpg
187	32354	Sternstunden 18	MED	00:35:00	21.07.2026 11:02:00	Horas estelares con Gabriele. Primer y quinto Mandamiento de Dios en la Luz de Cristo 	Horas estelares con Gabriele. Primer y quinto Mandamiento de Dios en la Luz de Cristo 		False	False	False	False	False	False	False	10Gebote.jpg
192	21150	Volksküche 85	KOCH	00:18:00	21.07.2026 11:43:00	Cocina popular vegetariana-vegana: Menú festivo con espárragos	Cocina popular vegetariana-vegana: Menú festivo con espárragos		False	False	False	False	False	False	False	Volkskueche_4.jpg
195	28154	InnererWeg 19	GR-IW	00:29:00	21.07.2026 12:04:30	El Camino interno hacia la Consciencia cósmica. Peldaño del Orden. Programa 19	El Camino interno hacia la Consciencia cósmica. Peldaño del Orden. Programa 19		False	False	False	False	False	False	False	IW_ES.jpg
198	47972	GemeindeFels Juli2026	SON	01:20:00	21.07.2026 12:38:00	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	GemeindeFelsJul2.jpg
201	33919	Bergpredigt 05	LES	00:23:00	21.07.2026 14:03:00	El Sermón de la Montaña de Jesús de Nazaret. Parte 5	El Sermón de la Montaña de Jesús de Nazaret. Parte 5		False	False	False	False	False	False	False	Berg_ES-00.jpg
206	33920	Bergpredigt 06	LES	00:26:00	21.07.2026 14:30:30	El Sermón de la Montaña de Jesús de Nazaret. Parte 6	El Sermón de la Montaña de Jesús de Nazaret. Parte 6		False	False	False	False	False	False	False	Berg_ES-00.jpg
211	35876	SchuleLeben 14	DWS	00:24:30	21.07.2026 15:01:00	Armonía es la vida de la empresa	La verdadera escuela es la vida. Horas de enseñanza dadas desde la Sabiduría divina.		False	False	False	False	False	False	False	DWSharmonieBetriebe.jpg
216	33478	GebetMutterErde	MED	00:27:00	21.07.2026 15:33:00	Oración por la Madre Tierra	Oración por la Madre Tierra		False	False	False	False	False	False	False	Erdkugel.jpg
220	42047	FGE VS Les 08 DuDasTier	FGE	00:07:00	21.07.2026 16:10:30	Somos las colectividades libres - Une y sé (8) 	Tú el animal, tú el hombre– quién tiene valores más elevados		False	False	False	False	False	False	False	ES_FGE_VerbindeUndSei.jpg
222	24417	Medikurs2 08	MED	00:26:00	21.07.2026 16:18:30	Meditaciones cristiano-originarias. (Curso 2º, med. 8)	Meditaciones cristiano-originarias. (Curso 2º, med. 8): «Amor, calor y armonía fluyen hacia mí desde la consciencia de la Voluntad»		False	False	False	False	False	False	False	Organansprache.jpg
225	42049	FGE VS Les 10 ErfülltesLeben	FGE	00:06:30	21.07.2026 16:48:30	Somos las colectividades libres - Une y sé (10) 	Una vida plena hasta en la edad avanzada		False	False	False	False	False	False	False	ES_FGE_VerbindeUndSei.jpg
227	07374	IhreGedanken 11 5Fr	GH	00:11:30	21.07.2026 16:56:00	Sus pensamientos son su día: El comienzo y el final del día	Meditación con imágenes con impulsos para el día		False	False	False	False	False	False	False	ES_Woche.jpg
230	35215	Auferstehungslicht	MED	00:38:00	21.07.2026 17:13:30	Oracíon meditativa. Cristo, la luz de la Resurreccíon, brilla en nuestra alma.	Oracíon meditativa. Cristo, la luz de la Resurreccíon, brilla en nuestra alma.		False	False	False	False	False	False	False	Auferstehungslicht.jpg
234	36032	SchuleLeben 15	DWS	00:28:00	21.07.2026 18:01:00	¿Qué es libertad? ¿Con qué nos la hemos quitado? ¿Y cómo la podemos recuperar?	La verdadera escuela es la vida. Horas de enseñanza dadas desde la Sabiduría divina.		False	False	False	False	False	False	False	Lilienzeitalter.jpg
