id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
380	41010	Zelt GottHeilt 04 WEB	LES-ZELT	00:24:30	04.06.2026 04:29:00	Uma leitura do livro "Deus Cura" de Gabriele. Parte 4. Desde o Arco da Aliança do Espírito Livre, desde a Tenda de Deus, a palavra eterna vem diretamente a nós	Uma leitura do livro "Deus Cura" de Gabriele. Parte 4. Desde o Arco da Aliança do Espírito Livre, desde a Tenda de Deus, a palavra eterna vem diretamente a nós		False	False	False	False	False	False	False	GottHeilt.jpg
382	29135	Gemeinschaften 09	FGE	00:28:30	04.06.2026 04:55:30	As Comunidades Livres Sob o Signo do Lírio. Tema:  Nos Abrimos a Nossa Herança Divina	As Comunidades Livres Sob o Signo do Lírio. Tema:  Nos Abrimos a Nossa Herança Divina		False	False	False	False	False	False	False	FGE_Menschen.jpg
387	40069	BändeEwigesReich 01 WEB	LES	00:42:00	04.06.2026 05:27:00	A partir do Reino Eterno. "Eu Faço Tudo Novo". Dado no ano 1991 e revelado a través da emissária do Reino Eterno, Gabriele.	A partir do Reino Eterno. "Eu Faço Tudo Novo". Dado no ano 1991 e revelado a través da emissária do Reino Eterno, Gabriele.		False	False	False	False	False	False	False	ChristusErlösung.jpg
389	41662	FGE VerbindeSei 02	FGE	00:10:00	04.06.2026 06:13:00	Nós somos as Comunidades Livres - Una e seja (2)	Sua Palavra – Presença Eterna		False	False	False	False	False	False	False	PT_FGE-VS.jpg
390	36580	Klassik Seele 59e_15	KONZ1	00:15:00	04.06.2026 06:23:00	Classics for the Soul. Santec Music Orchestra	Waltz from Serenade for Strings op. 48 by P.I. Tchaikovsky, Après un rêve (After a Dream) by G. Faure, Allegretto from Wind Quintet op. 56/2 by F. Danzi (Feb. 2017)		False	False	False	False	False	False	False	Orchestra.jpg
391	14084	Zuversicht 4	MED	00:21:00	04.06.2026 06:38:00	Confiança: Se queremos mudar o mundo, temos que mudar a nós mesmos	Confiança: Se queremos mudar o mundo, temos que mudar a nós mesmos		False	False	False	False	False	False	False	Zuversicht.jpg
393	36034	SchuleLeben 15	DWS	00:28:00	04.06.2026 07:02:00	A Verdadeira Escola é a Vida. Horas de Ensino a partir da sabedoria Divina: "O que é Liberdade? Como a Tiramos de Nós Mesmos? E Como Podemos Recuperá-la?"	A Verdadeira Escola é a Vida. Horas de Ensino a partir da sabedoria Divina: "O que é Liberdade? Como a Tiramos de Nós Mesmos? E Como Podemos Recuperá-la?"		False	False	False	False	False	False	False	Lilienzeitalter.jpg
395	34151	Bergpredigt 10	LES	00:20:30	04.06.2026 07:33:30	O Sermão da Montanha de Jesus de Nazaré. Parte 10	O Sermão da Montanha de Jesus de Nazaré. Parte 10		False	False	False	False	False	False	False	Berg_PT-00.jpg
398	23725	DasIstMeinWort 09	LES	00:27:00	04.06.2026 07:57:30	Esta é a Minha Palavra, A e Ω. Capítulo 6: "Infância e Juventude de Jesus"	Esta é a Minha Palavra, A e Ω. Capítulo 6: "Infância e Juventude de Jesus"		False	False	False	False	False	False	False	PT_DasIStMeinWort2.jpg
401	47493	Pfingsten 2026	SON	01:30:00	04.06.2026 08:29:30	"Pentecostes, o Deus que fala - para a vida em todo o Ser".  	A Comunidade Central do Senhor para a edificação do Reino da Paz do Cristo de Deus convida para o Encontro da Comunidade Cristã Original		False	False	False	False	False	False	False	PT_Pfingsten26.jpg
